Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
1da28989-ec4e-42b6-b2cf-995b84982af6,2018-08-13 06:36:17,Running,,2.79,23:00,8:14,7.28,335.0,48,,"","",2018-08-13-063617.gpx
b178c8b5-be7e-4d5e-b448-6c1cf5a468bd,2018-08-11 10:55:38,Running,,2.74,21:31,7:51,7.65,329.0,45,,"","",2018-08-11-105538.gpx
aea90473-6fda-4df5-843a-5138114cb744,2018-08-11 10:54:25,Running,,0.00,0:23,,,0.0,0,,"","",2018-08-11-105425.gpx
2296903e-8191-4254-9718-a30f1c54ed39,2018-08-09 22:44:20,Running,,2.86,31:56,11:10,5.38,338.0,46,,"","",2018-08-09-224420.gpx
dc2ab62e-5ceb-4bd2-aca2-390baa1bfe3e,2018-08-08 07:11:09,Running,,2.53,20:10,7:58,7.54,306.0,49,,"","",2018-08-08-071109.gpx
b6985fa9-aef2-4a2e-9ff0-3e2d97e85809,2018-08-06 06:16:46,Running,,2.77,23:06,8:21,7.19,329.0,47,,"","",2018-08-06-061646.gpx
f1633c18-59e0-4340-8391-07854e462975,2018-08-05 04:33:28,Running,,3.07,24:01,7:49,7.68,366.0,48,,"","",2018-08-05-043328.gpx
ec22678d-6e4f-410a-aac3-f698800dd1ab,2018-08-03 09:52:12,Running,,2.84,26:30,9:20,6.43,344.0,51,,"","",2018-08-03-095212.gpx
04f44e18-b020-4c88-9c3b-6c3bf8e4826f,2018-08-01 06:43:13,Running,,2.82,23:40,8:24,7.14,335.0,48,,"","",2018-08-01-064313.gpx
c5da521c-e790-4ecc-a0a8-c7c006fb4f44,2018-07-30 06:11:51,Running,,2.85,24:07,8:28,7.09,343.0,53,,"","",2018-07-30-061151.gpx
641fb18f-54cd-454e-9b35-8fbd259c0b15,2018-07-29 09:57:35,Running,,3.42,30:20,8:52,6.77,445.0,346,,"","",2018-07-29-095735.gpx
95bc0d39-79d5-4caf-9ed3-3e10b10b3ac9,2018-07-26 07:17:36,Running,,2.77,25:05,9:03,6.63,334.0,49,,"","",2018-07-26-071736.gpx
5c177b3b-c2ac-436d-94a0-e5b0792ecb71,2018-07-24 05:23:11,Running,,2.91,25:08,8:38,6.94,349.0,51,,"","",2018-07-24-052311.gpx
0002403b-78c7-44f2-b7ca-68114d1451dc,2018-07-23 19:58:56,Running,,3.12,25:18,8:06,7.41,374.0,53,,"","",2018-07-23-195856.gpx
